#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=7500 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:124 out:123 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:39905 mv:322 misc:893 imb:23 pmb:245 smb:3332 d:- ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:0.00 aq:0.03 tex:10745 mv:367 misc:872 imb:0 pmb:216 smb:3384 d:- ref:0 ;
in:126 out:125 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:63128 mv:369 misc:887 imb:22 pmb:257 smb:3321 d:- ref:0 ;
in:125 out:126 type:b dur:2 cpbdur:2 q:0.00 aq:0.79 tex:25134 mv:434 misc:856 imb:0 pmb:249 smb:3351 d:- ref:0 ;
in:127 out:127 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:67327 mv:438 misc:875 imb:38 pmb:266 smb:3296 d:- ref:0 ;
in:129 out:128 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:77671 mv:495 misc:906 imb:48 pmb:273 smb:3279 d:- ref:0 ;
in:128 out:129 type:b dur:2 cpbdur:2 q:0.00 aq:0.04 tex:9671 mv:269 misc:892 imb:0 pmb:221 smb:3379 d:- ref:0 ;
in:130 out:130 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:90767 mv:576 misc:881 imb:55 pmb:286 smb:3259 d:- ref:0 ;
in:132 out:131 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:116968 mv:599 misc:897 imb:24 pmb:312 smb:3264 d:- ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:0.00 aq:0.23 tex:8134 mv:242 misc:904 imb:0 pmb:199 smb:3401 d:- ref:0 ;
in:134 out:133 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:122276 mv:553 misc:939 imb:34 pmb:310 smb:3256 d:- ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:0.00 aq:0.27 tex:17154 mv:407 misc:911 imb:0 pmb:280 smb:3320 d:- ref:0 ;
in:135 out:135 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:154753 mv:1287 misc:1080 imb:189 pmb:322 smb:3089 d:- ref:0 ;
in:137 out:136 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:191642 mv:1552 misc:926 imb:206 pmb:345 smb:3049 d:- ref:0 ;
in:136 out:137 type:b dur:2 cpbdur:2 q:0.00 aq:0.46 tex:12867 mv:244 misc:1001 imb:0 pmb:242 smb:3358 d:- ref:0 ;
in:141 out:138 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:261180 mv:1697 misc:843 imb:348 pmb:276 smb:2976 d:- ref:0 ;
in:139 out:139 type:B dur:2 cpbdur:2 q:0.00 aq:0.34 tex:17916 mv:307 misc:841 imb:0 pmb:294 smb:3306 d:- ref:0 ;
in:138 out:140 type:b dur:2 cpbdur:2 q:0.00 aq:0.99 tex:38199 mv:1355 misc:934 imb:112 pmb:376 smb:3112 d:- ref:0 ;
in:140 out:141 type:b dur:2 cpbdur:2 q:0.00 aq:1.26 tex:2118 mv:198 misc:812 imb:0 pmb:141 smb:3459 d:- ref:0 ;
in:144 out:142 type:P dur:2 cpbdur:2 q:0.00 aq:1.10 tex:13102 mv:126 misc:852 imb:0 pmb:202 smb:3398 d:- ref:0 ;
in:142 out:143 type:B dur:2 cpbdur:2 q:0.00 aq:1.39 tex:16249 mv:387 misc:780 imb:0 pmb:249 smb:3351 d:- ref:0 ;
in:143 out:144 type:b dur:2 cpbdur:2 q:0.00 aq:1.35 tex:4674 mv:319 misc:743 imb:0 pmb:151 smb:3449 d:- ref:0 ;
in:145 out:145 type:I dur:2 cpbdur:2 q:0.00 aq:0.00 tex:168690 mv:6729 misc:133 imb:3600 pmb:0 smb:0 d:- ref:;
in:149 out:146 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:32555 mv:187 misc:554 imb:4 pmb:184 smb:3412 d:- ref:0 ;
in:147 out:147 type:B dur:2 cpbdur:2 q:0.00 aq:1.06 tex:5725 mv:200 misc:611 imb:0 pmb:137 smb:3463 d:- ref:0 ;
in:146 out:148 type:b dur:2 cpbdur:2 q:0.00 aq:1.33 tex:4632 mv:220 misc:636 imb:0 pmb:126 smb:3474 d:- ref:0 ;
in:148 out:149 type:b dur:2 cpbdur:2 q:0.00 aq:1.07 tex:1184 mv:126 misc:434 imb:0 pmb:37 smb:3563 d:- ref:0 ;
in:153 out:150 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:11196 mv:142 misc:638 imb:2 pmb:139 smb:3459 d:- ref:0 ;
in:151 out:151 type:B dur:2 cpbdur:2 q:0.00 aq:1.15 tex:3139 mv:224 misc:589 imb:0 pmb:89 smb:3511 d:- ref:0 ;
in:150 out:152 type:b dur:2 cpbdur:2 q:0.00 aq:1.48 tex:927 mv:109 misc:436 imb:0 pmb:34 smb:3566 d:- ref:0 ;
